Model,Horizon,Split,RMSE,QLIKE,N
"GARCH(1,1)",H=1.0,Test,0.6859,0.1815,3774
"GARCH(1,1)",H=1.0,Val,0.7303,0.2027,1509
"GARCH(1,1)",H=22.0,Test,1.1813,1.1832,3774
"GARCH(1,1)",H=22.0,Val,1.0874,0.949,1509
"GARCH(1,1)",H=5.0,Test,0.4995,0.1726,3774
"GARCH(1,1)",H=5.0,Val,0.456,0.1414,1509
GBT_XGB,H=1.0,Test,0.3763,0.0732,2516
GBT_XGB,H=22.0,Test,0.2361,0.0297,2516
GBT_XGB,H=5.0,Test,0.2598,0.035,2516
HAR_BASELINES,H=1.0,Test,0.4111,0.0959,3774
HAR_BASELINES,H=22.0,Test,0.3053,0.0632,3774
HAR_BASELINES,H=5.0,Test,0.3109,0.0562,3774
INFORMER,H=1.0,Test,0.3992,0.0931,2390
INFORMER,H=1.0,Val,0.3839,0.0807,880
N-BEATS(L=90),H=1.0,Test,0.4786,0.1343,3774
N-BEATS(L=90),H=1.0,Val,0.4853,0.1373,1509
N-BEATS(L=90),H=22.0,Test,0.3379,0.0788,3774
N-BEATS(L=90),H=22.0,Val,0.3366,0.0678,1509
N-BEATS(L=90),H=5.0,Test,0.3455,0.0702,3774
N-BEATS(L=90),H=5.0,Val,0.3551,0.0698,1509
TFT,H=1.0,Test,0.4997,0.1069,3774
TFT,H=22.0,Test,0.3462,0.0711,3774
TFT,H=5.0,Test,0.3196,0.052,3774
