model,horizon,split,rmse_log,qlike,n
garch,1,test,0.6859307806080753,0.18148629261230087,3774
garch,1,val,0.7303257276633469,0.20265035949846563,1509
garch,5,test,0.4995362894250428,0.1725749541240204,3774
garch,5,val,0.45598017292881254,0.14142830201195128,1509
garch,22,test,1.1812539990044668,1.1832444599354535,3774
garch,22,val,1.0873625326674308,0.9490127266263585,1509
nbeats,1,test,0.47857866950229283,0.13425308183145754,3774
nbeats,1,val,0.4853185592524663,0.13726598660405256,1509
nbeats,5,test,0.3455070167239702,0.07015577612493393,3774
nbeats,5,val,0.3550801286590368,0.0698147750972585,1509
nbeats,22,test,0.33794866990239963,0.078847898988746,3774
nbeats,22,val,0.3366415291933862,0.06775754918980575,1509
